"SysLogID";"SysLogMACAddress";"SysLogRSSI";"SysLogLongitude";"SysLogLatitude";"SysLogBuildingIDFK_id";"SysLogFloorIDFK_id";"SysLogTimestamp"
1;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703711.15"
2;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703711.75"
3;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703712.35"
4;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703712.95"
5;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703713.55"
6;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703714.15"
7;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703714.75"
8;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703715.35"
9;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703715.95"
10;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703716.54"
11;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703717.14"
12;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703717.74"
13;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703718.34"
14;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703718.95"
15;"10:0D:7F:D1:A7:D4";"-44";"";"";0;0;"1478703719.55"
